weight_config,w_err,w_tfp,w_rp_pen,algo_index,problem_statement,processing_status,processing_time,total_iterations,converged,v1_verdict,v2_verdict,overall_score,crs_final,err_final,rp_final,tfp_final,errors_fixed,errors_introduced,net_improvement,total_errors_v1,total_errors_final
werr0.20_wrp0.00,0.2,0.8,0.0,52,The algorithm updates x_{k+1} = x_k - alpha * grad(f)(x_k) + noise_k. Noise vari,COMPLETED,58.19,1,True,PASS,PASS,5,1.0,0.0,0.0,1.0,0,0,0,0,0
werr0.20_wrp0.00,0.2,0.8,0.0,53,The algorithm maintains a snapshot of weights every k steps. Uses interpolation ,COMPLETED,94.27,1,True,PASS_MINOR,PASS_MINOR,4,0.8,0.0,0.0,1.0,0,0,0,0,0
werr0.20_wrp0.00,0.2,0.8,0.0,54,The algorithm uses a cyclic learning rate schedule. Step size varies between eta,COMPLETED,61.03,1,True,PASS,PASS,5,1.0,0.0,0.0,1.0,0,0,0,0,0
werr0.20_wrp0.00,0.2,0.8,0.0,55,The algorithm uses a warm restart schedule. Step size resets to eta_max every M ,COMPLETED,104.72,1,True,PASS,PASS,5,1.0,0.0,0.0,1.0,0,0,0,0,0
werr0.20_wrp0.00,0.2,0.8,0.0,56,The algorithm selects a random subset of coordinates at each step (block coordin,COMPLETED,70.31,1,True,PASS_MINOR,PASS_MINOR,4,1.0,0.0,0.0,1.0,0,0,0,0,0
werr0.20_wrp0.00,0.2,0.8,0.0,57,The algorithm selects a random subset of coordinates at each step (block coordin,COMPLETED,297.25,1,True,PASS_MINOR,PASS_MINOR,4,0.8,0.0,0.0,1.0,0,0,0,0,0
werr0.20_wrp0.00,0.2,0.8,0.0,58,The algorithm uses a quantized gradient operator Q(g) such that E[Q(g)] = g. Com,COMPLETED,60.75,1,True,PASS,PASS,5,1.0,0.0,0.0,1.0,0,0,0,0,0
werr0.20_wrp0.00,0.2,0.8,0.0,59,The algorithm uses a quantized gradient operator Q(g) such that E[Q(g)] = g. Com,COMPLETED,49.6,1,True,PASS,PASS,5,1.0,0.0,0.0,1.0,0,0,0,0,0
werr0.20_wrp0.00,0.2,0.8,0.0,60,The algorithm uses error feedback: stores quantization error e_k and adds it to ,COMPLETED,63.13,1,True,PASS,PASS,5,1.0,0.0,0.0,1.0,0,0,0,0,0
werr0.20_wrp0.00,0.2,0.8,0.0,61,The algorithm uses a sparse gradient operator: only top-K largest magnitude grad,COMPLETED,64.17,1,True,PASS,PASS,5,1.0,0.0,0.0,1.0,0,0,0,0,0
werr0.20_wrp0.00,0.2,0.8,0.0,62,The algorithm uses a sparse gradient operator: only top-K largest magnitude grad,COMPLETED,85.62,1,True,PASS_MINOR,PASS_MINOR,4,0.88,0.0,0.0,1.0,0,0,0,0,0
